,SRResNet_psnr,SRResNet_ssim,SRResNet_lpips,SRResNet_niqe,DASR_psnr,DASR_ssim,DASR_lpips,DASR_niqe,BSRNet_psnr,BSRNet_ssim,BSRNet_lpips,BSRNet_niqe,RealESRNet_x4plus_psnr,RealESRNet_x4plus_ssim,RealESRNet_x4plus_lpips,RealESRNet_x4plus_niqe,Real-RRDB_withdropout_psnr,Real-RRDB_withdropout_ssim,Real-RRDB_withdropout_lpips,Real-RRDB_withdropout_niqe,GDRealESRNetx4plus_psnr,GDRealESRNetx4plus_ssim,GDRealESRNetx4plus_lpips,GDRealESRNetx4plus_niqe,swinir-l_psnr,swinir-l_ssim,swinir-l_lpips,swinir-l_niqe
56,23.102,0.567,0.569,8.287,23.173,0.57,0.563,8.365,24.021,0.623,0.492,8.664,23.678,0.626,0.49,8.634,23.843,0.621,0.507,8.833,24.019,0.623,0.492,8.727,23.742,0.624,0.488,8.479
57,19.945,0.409,0.63,7.35,19.909,0.403,0.629,7.502,21.749,0.536,0.595,10.589,21.249,0.527,0.608,10.717,21.162,0.518,0.623,10.881,21.175,0.521,0.616,11.348,21.368,0.535,0.592,10.549
58,19.058,0.468,0.724,12.759,19.056,0.467,0.717,11.867,19.773,0.49,0.687,12.761,19.445,0.478,0.707,12.975,19.362,0.474,0.709,12.364,19.224,0.47,0.722,12.77,19.629,0.49,0.674,12.286
59,19.825,0.485,0.695,13.679,19.833,0.484,0.687,12.369,21.313,0.526,0.613,10.83,20.743,0.516,0.628,11.21,20.629,0.504,0.634,10.615,20.764,0.509,0.637,11.433,21.126,0.525,0.61,10.798
60,19.768,0.432,0.657,8.831,19.765,0.432,0.656,8.984,20.546,0.509,0.636,11.146,20.62,0.518,0.619,10.923,20.68,0.511,0.64,11.032,20.679,0.514,0.633,11.355,20.416,0.512,0.623,11.121
61,23.26,0.565,0.536,9.727,20.404,0.416,0.562,12.113,24.178,0.629,0.482,8.285,24.725,0.658,0.454,7.765,24.149,0.631,0.487,8.542,24.809,0.659,0.435,7.767,24.001,0.631,0.468,8.026
62,19.729,0.484,0.718,14.583,19.743,0.484,0.712,14.228,21.508,0.529,0.607,10.992,21.061,0.52,0.627,10.961,20.865,0.509,0.635,10.684,20.816,0.507,0.642,11.567,21.243,0.532,0.598,10.589
63,17.47,0.328,0.548,10.145,19.514,0.42,0.518,9.654,24.442,0.69,0.416,6.742,24.577,0.701,0.406,6.84,24.341,0.679,0.441,7.119,25,0.709,0.385,7.019,24.065,0.694,0.411,6.812
64,22.897,0.556,0.57,9.196,22.361,0.503,0.575,8.536,23.278,0.613,0.499,8.771,23.394,0.623,0.489,8.764,23.416,0.611,0.51,8.723,24.01,0.624,0.491,9.141,23.152,0.614,0.493,8.571
65,23.529,0.576,0.573,7.152,23.784,0.59,0.562,7.359,24.586,0.646,0.489,8.053,24.535,0.651,0.483,8.154,24.402,0.641,0.502,8.326,24.776,0.65,0.484,8.234,24.29,0.647,0.482,8.032
66,19.366,0.279,0.639,8.716,20.067,0.323,0.628,8.811,22.515,0.577,0.545,9.063,22.665,0.583,0.54,9.25,22.609,0.576,0.558,9.339,22.761,0.578,0.548,9.569,22.51,0.578,0.54,9.261
67,18.204,0.308,0.698,10.198,17.64,0.283,0.701,10.151,21.116,0.549,0.574,8.451,21.687,0.564,0.543,8.493,21.672,0.556,0.566,8.64,22.119,0.569,0.551,9.275,20.947,0.544,0.554,8.074
68,20.569,0.494,0.663,11.424,20.577,0.493,0.659,10.621,21.898,0.545,0.595,10.448,21.446,0.537,0.6,10.212,20.987,0.522,0.611,10.005,21.624,0.534,0.611,10.775,21.513,0.543,0.592,10.203
69,20.949,0.507,0.642,11.026,20.964,0.506,0.638,10.25,22.399,0.562,0.573,9.962,21.45,0.542,0.591,10.358,21.342,0.536,0.596,9.791,21.598,0.538,0.603,10.788,22.013,0.563,0.57,9.882
70,23.92,0.541,0.523,7.634,24.453,0.572,0.51,7.653,25.895,0.683,0.438,7.696,25.696,0.69,0.426,7.535,25.424,0.673,0.451,7.746,26.051,0.691,0.427,7.483,25.903,0.691,0.428,7.356
71,15.677,0.142,0.64,12.364,17.022,0.182,0.625,13.218,21.912,0.554,0.545,8.505,22.085,0.561,0.546,9.23,21.828,0.55,0.566,8.62,22.137,0.56,0.55,9.22,21.969,0.56,0.537,8.935
72,19.484,0.472,0.682,11.029,19.483,0.47,0.679,10.187,20.221,0.502,0.65,11.828,20.157,0.494,0.668,11.513,19.929,0.481,0.671,11.168,19.918,0.482,0.679,12.087,20.094,0.506,0.64,11.486
73,22.531,0.53,0.586,7.77,22.563,0.534,0.581,7.783,23.32,0.613,0.502,8.413,23.373,0.62,0.5,8.477,23.333,0.61,0.517,8.689,23.447,0.614,0.502,8.529,23.073,0.613,0.497,8.409
74,21.403,0.508,0.616,9.676,21.403,0.504,0.614,9.31,22.382,0.572,0.545,9.339,22.199,0.572,0.546,9.464,21.585,0.553,0.564,9.154,22.628,0.57,0.557,10.093,22.164,0.575,0.54,9.144
